Entity,Code,Year,Prevalence - Eating disorders - Sex: Both - Age: 20 to 24 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 10 to 14 (Percent),Prevalence - Eating disorders - Sex: Both - Age: All Ages (Percent),Prevalence - Eating disorders - Sex: Both - Age: 30 to 34 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 25 to 29 (Percent),Prevalence - Eating disorders - Sex: Both - Age: 5-14 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 50-69 years (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: 70+ years (Percent),Prevalence - Eating disorders - Sex: Both - Age: 15 to 19 (Percent)
Afghanistan,AFG,2007,0.25,0.08,0.1,0.22,0.24,0.04,0,0.1,0,0.23
Afghanistan,AFG,2008,0.25,0.09,0.11,0.23,0.24,0.04,0,0.1,0,0.23
Afghanistan,AFG,2009,0.26,0.09,0.11,0.23,0.25,0.04,0,0.11,0,0.23
Afghanistan,AFG,2010,0.27,0.09,0.11,0.24,0.25,0.04,0,0.11,0,0.24
Afghanistan,AFG,2011,0.27,0.09,0.12,0.25,0.26,0.04,0,0.11,0,0.24
Afghanistan,AFG,2012,0.28,0.09,0.12,0.25,0.26,0.04,0,0.11,0,0.25
Afghanistan,AFG,2013,0.28,0.09,0.12,0.26,0.27,0.04,0,0.12,0,0.25
Afghanistan,AFG,2014,0.29,0.09,0.12,0.26,0.27,0.04,0,0.12,0,0.26
Afghanistan,AFG,2015,0.29,0.09,0.13,0.27,0.28,0.04,0,0.12,0,0.26
Afghanistan,AFG,2016,0.29,0.09,0.13,0.27,0.28,0.04,0,0.12,0,0.27
Afghanistan,AFG,2017,0.29,0.1,0.13,0.27,0.28,0.04,0,0.12,0,0.26
Afghanistan,AFG,2018,0.3,0.1,0.13,0.28,0.28,0.04,0,0.12,0,0.27
Afghanistan,AFG,2019,0.3,0.1,0.13,0.27,0.28,0.04,0,0.12,0,0.27
African Region (WHO),,1990,0.25,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.2
African Region (WHO),,1991,0.25,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.2
African Region (WHO),,1992,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.2
African Region (WHO),,1993,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.2
African Region (WHO),,1994,0.25,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.2
African Region (WHO),,1995,0.25,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.2
African Region (WHO),,1996,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.2
African Region (WHO),,1997,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.19
African Region (WHO),,1998,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.19
African Region (WHO),,1999,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.19
African Region (WHO),,2000,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.19
African Region (WHO),,2001,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.19
African Region (WHO),,2002,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.19
African Region (WHO),,2003,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.19
African Region (WHO),,2004,0.24,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.2
African Region (WHO),,2005,0.25,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.2
African Region (WHO),,2006,0.25,0.07,0.1,0.24,0.24,0.03,0,0.1,0,0.2
African Region (WHO),,2007,0.25,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.2
African Region (WHO),,2008,0.25,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.2
African Region (WHO),,2009,0.25,0.07,0.11,0.25,0.25,0.03,0,0.1,0,0.2
African Region (WHO),,2010,0.26,0.07,0.11,0.25,0.26,0.03,0,0.1,0,0.2
African Region (WHO),,2011,0.26,0.07,0.11,0.26,0.26,0.03,0,0.11,0,0.2
African Region (WHO),,2012,0.26,0.07,0.11,0.26,0.26,0.03,0,0.11,0,0.21
African Region (WHO),,2013,0.26,0.07,0.11,0.27,0.26,0.03,0,0.11,0,0.21
African Region (WHO),,2014,0.27,0.07,0.11,0.27,0.27,0.03,0,0.11,0,0.21
African Region (WHO),,2015,0.27,0.08,0.12,0.27,0.27,0.03,0,0.11,0,0.21
African Region (WHO),,2016,0.27,0.08,0.12,0.28,0.27,0.04,0,0.11,0,0.21
African Region (WHO),,2017,0.27,0.08,0.12,0.28,0.28,0.04,0,0.11,0,0.21
African Region (WHO),,2018,0.27,0.08,0.12,0.28,0.28,0.04,0,0.11,0,0.22
African Region (WHO),,2019,0.27,0.08,0.12,0.28,0.28,0.04,0,0.11,0,0.22
Albania,ALB,1990,0.27,0.08,0.12,0.25,0.26,0.04,0,0.11,0,0.22
Albania,ALB,1991,0.27,0.08,0.12,0.24,0.26,0.04,0,0.11,0,0.22
Albania,ALB,1992,0.26,0.08,0.12,0.24,0.25,0.04,0,0.11,0,0.22
Albania,ALB,1993,0.26,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
Albania,ALB,1994,0.26,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
Albania,ALB,1995,0.26,0.08,0.11,0.23,0.25,0.04,0,0.1,0,0.21
Albania,ALB,1996,0.26,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
Albania,ALB,1997,0.26,0.08,0.11,0.24,0.25,0.04,0,0.11,0,0.22
Albania,ALB,1998,0.26,0.08,0.12,0.24,0.25,0.04,0,0.11,0,0.21
Albania,ALB,1999,0.27,0.08,0.11,0.24,0.26,0.04,0,0.11,0,0.22
Albania,ALB,2000,0.27,0.08,0.11,0.25,0.26,0.04,0,0.11,0,0.22
Albania,ALB,2001,0.28,0.08,0.11,0.25,0.26,0.04,0,0.11,0,0.22
Albania,ALB,2002,0.28,0.08,0.11,0.25,0.27,0.04,0,0.11,0,0.23
Albania,ALB,2003,0.29,0.08,0.12,0.26,0.28,0.05,0,0.12,0,0.23
Albania,ALB,2004,0.29,0.08,0.12,0.27,0.28,0.05,0,0.12,0,0.23
Albania,ALB,2005,0.3,0.08,0.12,0.27,0.29,0.05,0,0.12,0,0.24
Albania,ALB,2006,0.3,0.09,0.12,0.28,0.29,0.05,0,0.12,0,0.24
Albania,ALB,2007,0.3,0.09,0.12,0.28,0.3,0.05,0,0.12,0,0.25
Albania,ALB,2008,0.31,0.09,0.13,0.29,0.3,0.05,0,0.13,0,0.25
Albania,ALB,2009,0.31,0.09,0.13,0.29,0.31,0.05,0,0.13,0,0.26
Albania,ALB,2010,0.32,0.09,0.13,0.3,0.31,0.05,0,0.13,0,0.26
Albania,ALB,2011,0.32,0.09,0.13,0.3,0.31,0.05,0,0.13,0,0.26
Albania,ALB,2012,0.33,0.09,0.13,0.31,0.32,0.05,0,0.13,0,0.27
Albania,ALB,2013,0.33,0.09,0.13,0.31,0.32,0.05,0,0.14,0,0.27
Albania,ALB,2014,0.34,0.1,0.13,0.31,0.33,0.06,0,0.14,0,0.27
Albania,ALB,2015,0.35,0.1,0.13,0.32,0.33,0.06,0,0.14,0,0.28
Albania,ALB,2016,0.35,0.1,0.13,0.32,0.33,0.05,0,0.14,0,0.28
Albania,ALB,2017,0.35,0.1,0.13,0.32,0.34,0.05,0,0.14,0,0.28
Albania,ALB,2018,0.36,0.1,0.13,0.33,0.34,0.05,0,0.14,0,0.28
Albania,ALB,2019,0.36,0.1,0.13,0.33,0.34,0.05,0,0.15,0,0.28
Algeria,DZA,1990,0.49,0.15,0.22,0.46,0.47,0.07,0,0.2,0,0.42
Algeria,DZA,1991,0.48,0.15,0.21,0.46,0.47,0.07,0,0.2,0,0.42
Algeria,DZA,1992,0.48,0.15,0.21,0.45,0.46,0.07,0,0.2,0,0.41
Algeria,DZA,1993,0.47,0.14,0.21,0.45,0.46,0.07,0,0.2,0,0.41
Algeria,DZA,1994,0.47,0.14,0.22,0.45,0.46,0.07,0,0.2,0,0.41
Algeria,DZA,1995,0.47,0.14,0.22,0.44,0.45,0.07,0,0.2,0,0.4
Algeria,DZA,1996,0.47,0.14,0.22,0.44,0.45,0.07,0,0.2,0,0.4
Algeria,DZA,1997,0.47,0.14,0.22,0.44,0.45,0.07,0,0.19,0,0.4
Algeria,DZA,1998,0.46,0.14,0.22,0.44,0.45,0.07,0,0.19,0,0.4
Algeria,DZA,1999,0.46,0.14,0.22,0.44,0.45,0.07,0,0.19,0,0.4
Algeria,DZA,2000,0.46,0.14,0.23,0.44,0.45,0.08,0,0.19,0,0.4
Algeria,DZA,2001,0.46,0.14,0.23,0.44,0.45,0.08,0,0.19,0,0.4
Algeria,DZA,2002,0.47,0.14,0.23,0.44,0.45,0.08,0,0.2,0,0.41
Algeria,DZA,2003,0.47,0.15,0.24,0.45,0.46,0.08,0,0.2,0,0.41
Algeria,DZA,2004,0.48,0.15,0.24,0.45,0.46,0.08,0,0.2,0,0.41
Algeria,DZA,2005,0.48,0.15,0.24,0.46,0.47,0.08,0,0.2,0,0.42
Algeria,DZA,2006,0.49,0.15,0.25,0.46,0.47,0.08,0,0.2,0,0.42
Algeria,DZA,2007,0.49,0.15,0.25,0.47,0.48,0.08,0,0.21,0,0.42
Algeria,DZA,2008,0.5,0.15,0.25,0.48,0.48,0.08,0,0.21,0,0.42
Algeria,DZA,2009,0.5,0.15,0.25,0.48,0.48,0.08,0,0.21,0,0.43
Algeria,DZA,2010,0.5,0.15,0.25,0.48,0.49,0.08,0,0.21,0,0.43
Algeria,DZA,2011,0.5,0.15,0.25,0.48,0.49,0.08,0,0.21,0,0.43
Algeria,DZA,2012,0.51,0.16,0.25,0.49,0.49,0.08,0,0.21,0,0.43
Algeria,DZA,2013,0.51,0.16,0.25,0.49,0.5,0.07,0,0.22,0,0.44
Algeria,DZA,2014,0.52,0.16,0.25,0.49,0.5,0.07,0,0.22,0,0.44
Algeria,DZA,2015,0.52,0.16,0.25,0.49,0.51,0.07,0,0.22,0,0.44
Algeria,DZA,2016,0.53,0.16,0.25,0.5,0.51,0.07,0,0.22,0,0.45
Algeria,DZA,2017,0.53,0.16,0.25,0.51,0.52,0.07,0,0.22,0,0.45
Algeria,DZA,2018,0.53,0.16,0.24,0.51,0.52,0.08,0,0.22,0,0.45
Algeria,DZA,2019,0.53,0.16,0.24,0.51,0.52,0.08,0,0.22,0,0.45
American Samoa,ASM,1990,0.36,0.1,0.16,0.34,0.35,0.05,0,0.15,0,0.28
American Samoa,ASM,1991,0.35,0.1,0.16,0.34,0.35,0.05,0,0.15,0,0.28
American Samoa,ASM,1992,0.35,0.1,0.16,0.34,0.34,0.05,0,0.14,0,0.27
American Samoa,ASM,1993,0.34,0.1,0.16,0.33,0.34,0.05,0,0.14,0,0.27
American Samoa,ASM,1994,0.34,0.1,0.15,0.33,0.33,0.05,0,0.14,0,0.27
American Samoa,ASM,1995,0.33,0.1,0.15,0.33,0.33,0.05,0,0.14,0,0.27
American Samoa,ASM,1996,0.33,0.1,0.15,0.33,0.33,0.05,0,0.14,0,0.27
American Samoa,ASM,1997,0.33,0.1,0.15,0.32,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,1998,0.32,0.1,0.15,0.32,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,1999,0.32,0.1,0.15,0.32,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2000,0.32,0.1,0.14,0.32,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2001,0.32,0.1,0.14,0.32,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2002,0.33,0.1,0.14,0.32,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2003,0.33,0.1,0.14,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2004,0.33,0.1,0.14,0.32,0.32,0.05,0,0.14,0,0.27
American Samoa,ASM,2005,0.33,0.1,0.14,0.32,0.32,0.05,0,0.14,0,0.27
American Samoa,ASM,2006,0.33,0.1,0.14,0.32,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2007,0.33,0.1,0.14,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2008,0.33,0.1,0.14,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2009,0.32,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2010,0.32,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2011,0.32,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2012,0.32,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2013,0.32,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2014,0.33,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2015,0.33,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2016,0.33,0.1,0.13,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2017,0.32,0.1,0.14,0.31,0.32,0.05,0,0.14,0,0.26
American Samoa,ASM,2018,0.32,0.1,0.14,0.31,0.32,0.05,0,0.13,0,0.26
American Samoa,ASM,2019,0.32,0.1,0.14,0.31,0.32,0.05,0,0.13,0,0.26
Andorra,AND,1990,1.26,0.35,0.6,1.08,1.22,0.2,0,0.52,0,0.98
Andorra,AND,1991,1.25,0.35,0.62,1.07,1.21,0.2,0,0.51,0,0.97
Andorra,AND,1992,1.25,0.35,0.62,1.07,1.21,0.2,0,0.51,0,0.98
Andorra,AND,1993,1.25,0.35,0.6,1.07,1.21,0.2,0,0.51,0,0.97
Andorra,AND,1994,1.26,0.35,0.6,1.07,1.22,0.19,0,0.51,0,0.97
Andorra,AND,1995,1.27,0.35,0.59,1.08,1.23,0.19,0,0.52,0,0.97
Andorra,AND,1996,1.28,0.35,0.58,1.09,1.24,0.19,0,0.52,0,0.97
Andorra,AND,1997,1.28,0.34,0.58,1.09,1.25,0.18,0,0.52,0,0.98
Andorra,AND,1998,1.29,0.35,0.57,1.09,1.25,0.18,0,0.52,0,0.98
Andorra,AND,1999,1.28,0.35,0.56,1.11,1.27,0.18,0,0.53,0,0.99
Andorra,AND,2000,1.28,0.35,0.55,1.12,1.27,0.18,0,0.53,0,1
Andorra,AND,2001,1.3,0.36,0.54,1.14,1.29,0.19,0,0.54,0,1.01
Andorra,AND,2002,1.33,0.37,0.54,1.15,1.3,0.2,0,0.55,0,1.01
Andorra,AND,2003,1.35,0.37,0.56,1.17,1.32,0.2,0,0.56,0,1.03
Andorra,AND,2004,1.37,0.37,0.58,1.18,1.31,0.19,0,0.56,0,1.05
Andorra,AND,2005,1.38,0.38,0.58,1.18,1.32,0.19,0,0.56,0,1.05
Andorra,AND,2006,1.37,0.37,0.58,1.18,1.33,0.19,0,0.57,0,1.06
Andorra,AND,2007,1.37,0.37,0.57,1.19,1.33,0.19,0,0.57,0,1.07
Andorra,AND,2008,1.38,0.38,0.56,1.19,1.34,0.19,0,0.57,0,1.07
Andorra,AND,2009,1.39,0.38,0.55,1.19,1.35,0.2,0,0.57,0,1.06
Andorra,AND,2010,1.39,0.38,0.54,1.19,1.36,0.21,0,0.57,0,1.06
Andorra,AND,2011,1.39,0.38,0.53,1.2,1.37,0.21,0,0.57,0,1.05
Andorra,AND,2012,1.37,0.38,0.52,1.2,1.35,0.21,0,0.57,0,1.04
Andorra,AND,2013,1.36,0.38,0.51,1.19,1.34,0.21,0,0.57,0,1.03
Andorra,AND,2014,1.34,0.38,0.5,1.19,1.33,0.2,0,0.56,0,1.05
Andorra,AND,2015,1.32,0.37,0.49,1.18,1.32,0.2,0,0.56,0,1.04
Andorra,AND,2016,1.33,0.37,0.48,1.19,1.33,0.2,0,0.56,0,1.05
Andorra,AND,2017,1.33,0.37,0.48,1.2,1.34,0.2,0,0.57,0,1.07
Andorra,AND,2018,1.35,0.37,0.48,1.2,1.34,0.21,0,0.57,0,1.08
Andorra,AND,2019,1.37,0.38,0.48,1.2,1.35,0.21,0,0.57,0,1.08
Angola,AGO,1990,0.27,0.08,0.11,0.26,0.27,0.03,0,0.11,0,0.22
Angola,AGO,1991,0.27,0.07,0.11,0.26,0.26,0.03,0,0.11,0,0.21
Angola,AGO,1992,0.26,0.07,0.11,0.25,0.26,0.03,0,0.11,0,0.21
Angola,AGO,1993,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Angola,AGO,1994,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Angola,AGO,1995,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Angola,AGO,1996,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Angola,AGO,1997,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Angola,AGO,1998,0.25,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.2
Angola,AGO,1999,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Angola,AGO,2000,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Angola,AGO,2001,0.25,0.07,0.1,0.24,0.25,0.03,0,0.1,0,0.21
Angola,AGO,2002,0.26,0.07,0.1,0.25,0.25,0.03,0,0.1,0,0.21
Angola,AGO,2003,0.26,0.08,0.11,0.25,0.26,0.03,0,0.11,0,0.21
Angola,AGO,2004,0.26,0.08,0.11,0.25,0.26,0.03,0,0.11,0,0.21
Angola,AGO,2005,0.27,0.08,0.11,0.26,0.26,0.03,0,0.11,0,0.21
Angola,AGO,2006,0.27,0.08,0.11,0.26,0.27,0.03,0,0.11,0,0.22
Angola,AGO,2007,0.28,0.08,0.11,0.27,0.28,0.04,0,0.11,0,0.22
Angola,AGO,2008,0.29,0.08,0.12,0.28,0.29,0.04,0,0.12,0,0.23
Angola,AGO,2009,0.3,0.08,0.12,0.29,0.29,0.04,0,0.12,0,0.24
Angola,AGO,2010,0.31,0.08,0.12,0.3,0.3,0.04,0,0.12,0,0.24
Angola,AGO,2011,0.31,0.09,0.13,0.3,0.31,0.04,0,0.13,0,0.25
Angola,AGO,2012,0.32,0.09,0.13,0.31,0.32,0.04,0,0.13,0,0.25
Angola,AGO,2013,0.33,0.09,0.13,0.32,0.32,0.04,0,0.13,0,0.25
Angola,AGO,2014,0.33,0.09,0.13,0.32,0.33,0.04,0,0.14,0,0.26
Angola,AGO,2015,0.33,0.09,0.13,0.33,0.33,0.04,0,0.14,0,0.26
Angola,AGO,2016,0.34,0.09,0.13,0.33,0.33,0.04,0,0.14,0,0.26
Angola,AGO,2017,0.34,0.09,0.14,0.33,0.34,0.04,0,0.14,0,0.26
Angola,AGO,2018,0.34,0.09,0.14,0.33,0.34,0.04,0,0.14,0,0.26
Angola,AGO,2019,0.34,0.09,0.14,0.33,0.34,0.04,0,0.14,0,0.26
Antigua and Barbuda,ATG,1990,0.65,0.13,0.27,0.56,0.64,0.06,0,0.24,0,0.43
Antigua and Barbuda,ATG,1991,0.66,0.13,0.27,0.57,0.65,0.07,0,0.25,0,0.43
Antigua and Barbuda,ATG,1992,0.67,0.13,0.28,0.58,0.65,0.07,0,0.25,0,0.44
Antigua and Barbuda,ATG,1993,0.68,0.14,0.28,0.58,0.66,0.07,0,0.25,0,0.44
Antigua and Barbuda,ATG,1994,0.68,0.14,0.28,0.59,0.67,0.07,0,0.26,0,0.45
Antigua and Barbuda,ATG,1995,0.69,0.14,0.29,0.59,0.67,0.07,0,0.26,0,0.45
Antigua and Barbuda,ATG,1996,0.69,0.14,0.29,0.6,0.68,0.07,0,0.26,0,0.45
Antigua and Barbuda,ATG,1997,0.7,0.14,0.29,0.6,0.68,0.07,0,0.26,0,0.46
Antigua and Barbuda,ATG,1998,0.7,0.14,0.29,0.61,0.69,0.07,0,0.26,0,0.46
Antigua and Barbuda,ATG,1999,0.71,0.14,0.29,0.6,0.69,0.07,0,0.26,0,0.46
Antigua and Barbuda,ATG,2000,0.71,0.14,0.29,0.61,0.69,0.07,0,0.26,0,0.46
Antigua and Barbuda,ATG,2001,0.71,0.14,0.29,0.61,0.7,0.07,0,0.27,0,0.46
Antigua and Barbuda,ATG,2002,0.71,0.14,0.29,0.61,0.7,0.07,0,0.27,0,0.46
Antigua and Barbuda,ATG,2003,0.72,0.14,0.29,0.62,0.7,0.07,0,0.27,0,0.46
Antigua and Barbuda,ATG,2004,0.72,0.14,0.29,0.62,0.7,0.07,0,0.27,0,0.46
Antigua and Barbuda,ATG,2005,0.72,0.14,0.29,0.63,0.71,0.07,0,0.27,0,0.47
Antigua and Barbuda,ATG,2006,0.73,0.14,0.3,0.63,0.71,0.07,0,0.27,0,0.47
Antigua and Barbuda,ATG,2007,0.74,0.14,0.3,0.64,0.72,0.07,0,0.28,0,0.48
Antigua and Barbuda,ATG,2008,0.75,0.14,0.3,0.64,0.73,0.08,0,0.28,0,0.48
Antigua and Barbuda,ATG,2009,0.76,0.15,0.3,0.65,0.74,0.08,0,0.28,0,0.49
Antigua and Barbuda,ATG,2010,0.76,0.15,0.3,0.65,0.74,0.08,0,0.28,0,0.49
Antigua and Barbuda,ATG,2011,0.76,0.15,0.3,0.65,0.75,0.08,0,0.28,0,0.49
Antigua and Barbuda,ATG,2012,0.76,0.15,0.3,0.65,0.74,0.08,0,0.28,0,0.48
Antigua and Barbuda,ATG,2013,0.75,0.15,0.3,0.64,0.74,0.08,0,0.28,0,0.48
Antigua and Barbuda,ATG,2014,0.75,0.15,0.29,0.64,0.74,0.08,0,0.28,0,0.48
Antigua and Barbuda,ATG,2015,0.74,0.15,0.29,0.64,0.74,0.08,0,0.28,0,0.48
Antigua and Barbuda,ATG,2016,0.75,0.15,0.29,0.64,0.74,0.08,0,0.28,0,0.48
Antigua and Barbuda,ATG,2017,0.75,0.15,0.29,0.65,0.74,0.08,0,0.28,0,0.49
Antigua and Barbuda,ATG,2018,0.75,0.15,0.29,0.65,0.74,0.08,0,0.28,0,0.49
Antigua and Barbuda,ATG,2019,0.76,0.15,0.29,0.66,0.74,0.08,0,0.28,0,0.49
Argentina,ARG,1990,0.78,0.18,0.29,0.66,0.74,0.09,0,0.3,0,0.57
Argentina,ARG,1991,0.79,0.18,0.29,0.66,0.75,0.09,0,0.3,0,0.57
Argentina,ARG,1992,0.79,0.19,0.3,0.67,0.76,0.09,0,0.3,0,0.58
Argentina,ARG,1993,0.8,0.19,0.3,0.67,0.76,0.09,0,0.31,0,0.58
Argentina,ARG,1994,0.81,0.19,0.3,0.68,0.77,0.09,0,0.31,0,0.59
Argentina,ARG,1995,0.81,0.19,0.31,0.68,0.77,0.09,0,0.31,0,0.59
Argentina,ARG,1996,0.82,0.19,0.31,0.69,0.78,0.1,0,0.31,0,0.59
Argentina,ARG,1997,0.83,0.2,0.32,0.7,0.79,0.1,0,0.32,0,0.61
Argentina,ARG,1998,0.84,0.2,0.32,0.71,0.8,0.1,0,0.32,0,0.61
Argentina,ARG,1999,0.84,0.2,0.33,0.72,0.81,0.1,0,0.33,0,0.62
Argentina,ARG,2000,0.85,0.2,0.33,0.72,0.81,0.1,0,0.33,0,0.62
Argentina,ARG,2001,0.84,0.2,0.33,0.72,0.81,0.1,0,0.33,0,0.62
Argentina,ARG,2002,0.84,0.2,0.33,0.72,0.81,0.1,0,0.33,0,0.62
Argentina,ARG,2003,0.84,0.2,0.33,0.71,0.8,0.1,0,0.32,0,0.62
Argentina,ARG,2004,0.83,0.2,0.33,0.71,0.8,0.1,0,0.32,0,0.61
Argentina,ARG,2005,0.83,0.2,0.33,0.71,0.8,0.1,0,0.32,0,0.61
Argentina,ARG,2006,0.84,0.2,0.33,0.71,0.8,0.1,0,0.32,0,0.62
Argentina,ARG,2007,0.84,0.2,0.33,0.72,0.81,0.1,0,0.33,0,0.62
Argentina,ARG,2008,0.85,0.2,0.34,0.72,0.82,0.1,0,0.33,0,0.63
Argentina,ARG,2009,0.87,0.21,0.34,0.73,0.83,0.11,0,0.33,0,0.63
Argentina,ARG,2010,0.87,0.21,0.34,0.74,0.83,0.11,0,0.34,0,0.64
Argentina,ARG,2011,0.88,0.21,0.35,0.75,0.84,0.11,0,0.34,0,0.65
Argentina,ARG,2012,0.89,0.21,0.35,0.76,0.85,0.11,0,0.34,0,0.65
Argentina,ARG,2013,0.9,0.21,0.36,0.77,0.86,0.11,0,0.35,0,0.66
Argentina,ARG,2014,0.9,0.21,0.36,0.78,0.87,0.11,0,0.35,0,0.66
Argentina,ARG,2015,0.91,0.21,0.36,0.78,0.87,0.11,0,0.35,0,0.66
Argentina,ARG,2016,0.91,0.22,0.36,0.79,0.88,0.11,0,0.36,0,0.67
Argentina,ARG,2017,0.91,0.22,0.36,0.79,0.88,0.11,0,0.36,0,0.67
Argentina,ARG,2018,0.92,0.22,0.36,0.79,0.88,0.11,0,0.36,0,0.67
Argentina,ARG,2019,0.91,0.22,0.36,0.79,0.88,0.11,0,0.36,0,0.67
Armenia,ARM,1990,0.27,0.08,0.12,0.25,0.26,0.04,0,0.11,0,0.22
Armenia,ARM,1991,0.27,0.08,0.12,0.24,0.26,0.04,0,0.11,0,0.21
Armenia,ARM,1992,0.26,0.08,0.11,0.24,0.25,0.04,0,0.1,0,0.21
